city,Latitude,Longitude,time_iso8601,weather_code_wmo_code,temperature_2m_max_deg_C,temperature_2m_min_deg_C,temperature_2m_mean_deg_C,apparent_temperature_max_deg_C,apparent_temperature_min_deg_C,apparent_temperature_mean_deg_C,sunrise_iso8601,sunset_iso8601,daylight_duration_s,sunshine_duration_s,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours_h,wind_speed_10m_max_km_per_h,wind_gusts_10m_max_km_per_h,wind_direction_10m_dominant_deg_,shortwave_radiation_sum_MJ_per_msq,et0_fao_evapotranspiration_mm
Stuttgart,48.7784485,9.1800132,2024-02-18,53,13.2,2.6,7.5,11.2,-0.4,5.2,2024-02-18T06:26,2024-02-18T16:47,37281.02,19581.15,2.9,2.9,0.0,6.0,14.9,29.5,222,7.17,1.04
Stuttgart,48.7784485,9.1800132,2024-02-19,63,11.1,7.6,9.1,7.6,4.3,5.8,2024-02-19T06:24,2024-02-19T16:49,37485.64,25732.05,9.2,9.2,0.0,15.0,19.9,41.4,271,6.32,1.11
Stuttgart,48.7784485,9.1800132,2024-02-20,55,10.1,4.0,6.9,6.4,0.9,3.8,2024-02-20T06:23,2024-02-20T16:50,37690.2,29434.06,2.5,2.5,0.0,7.0,16.5,32.4,284,6.88,1.02
Stuttgart,48.7784485,9.1800132,2024-02-21,51,12.9,3.8,8.4,10.1,0.3,5.2,2024-02-21T06:21,2024-02-21T16:52,37894.52,23018.77,0.5,0.5,0.0,4.0,15.1,29.9,211,8.02,1.54
Frankfurt,50.1106444,8.6820917,2024-01-01,51,7.8,5.9,6.7,3.1,0.8,1.9,2024-01-01T07:24,2024-01-01T15:32,29336.42,16705.89,0.6,0.6,0.0,5.0,30.5,58.7,223,3.18,0.84
Frankfurt,50.1106444,8.6820917,2024-01-02,61,9.8,6.2,8.3,4.6,1.6,3.3,2024-01-02T07:24,2024-01-02T15:33,29402.41,0.0,20.5,20.5,0.0,21.0,33.4,62.3,213,0.55,0.56
Frankfurt,50.1106444,8.6820917,2024-01-03,61,11.1,7.7,9.1,6.6,3.3,4.5,2024-01-03T07:23,2024-01-03T15:34,29473.84,18124.19,9.8,9.8,0.0,18.0,31.5,62.6,230,3.1,0.78
Frankfurt,50.1106444,8.6820917,2024-01-04,51,8.8,3.7,7.1,4.6,1.1,3.2,2024-01-04T07:23,2024-01-04T15:36,29550.6,16097.33,0.9,0.9,0.0,5.0,27.4,51.5,241,2.57,0.66
Frankfurt,50.1106444,8.6820917,2024-01-05,51,9.4,2.3,6.1,5.3,-0.7,2.7,2024-01-05T07:23,2024-01-05T15:37,29632.51,20380.15,0.1,0.1,0.0,1.0,20.1,40.3,213,3.29,0.56
Frankfurt,50.1106444,8.6820917,2024-01-06,51,7.1,2.2,4.5,5.3,-0.9,1.8,2024-01-06T07:23,2024-01-06T15:38,29719.45,2891.82,0.7,0.7,0.0,6.0,12.6,22.7,268,1.66,0.27
Frankfurt,50.1106444,8.6820917,2024-01-07,3,4.2,-1.8,1.1,0.6,-7.9,-4.0,2024-01-07T07:23,2024-01-07T15:39,29811.27,5848.13,0.0,0.0,0.0,0.0,23.1,45.0,27,2.64,0.64
Frankfurt,50.1106444,8.6820917,2024-01-08,3,-0.7,-5.6,-3.2,-6.6,-12.1,-9.2,2024-01-08T07:22,2024-01-08T15:40,29907.82,25038.55,0.0,0.0,0.0,0.0,22.2,41.8,35,4.83,0.95
Frankfurt,50.1106444,8.6820917,2024-01-09,0,0.6,-6.1,-3.9,-5.4,-11.9,-9.8,2024-01-09T07:22,2024-01-09T15:42,30008.97,25141.95,0.0,0.0,0.0,0.0,18.9,38.5,33,5.31,1.2
Frankfurt,50.1106444,8.6820917,2024-01-10,3,0.3,-5.6,-3.4,-4.6,-11.2,-8.3,2024-01-10T07:21,2024-01-10T15:43,30114.57,19369.89,0.0,0.0,0.0,0.0,14.1,26.3,37,3.71,0.78
Frankfurt,50.1106444,8.6820917,2024-01-11,3,2.3,-5.9,-2.5,-1.7,-10.7,-7.0,2024-01-11T07:21,2024-01-11T15:44,30224.46,25265.92,0.0,0.0,0.0,0.0,13.8,25.6,30,5.29,0.64
Frankfurt,50.1106444,8.6820917,2024-01-12,3,1.0,-1.2,-0.3,-1.9,-4.9,-3.7,2024-01-12T07:20,2024-01-12T15:46,30338.52,0.0,0.0,0.0,0.0,0.0,12.3,23.4,346,1.59,0.23
Frankfurt,50.1106444,8.6820917,2024-01-13,3,2.2,-1.4,-0.0,-2.9,-5.3,-4.5,2024-01-13T07:20,2024-01-13T15:47,30456.84,2436.02,0.0,0.0,0.0,0.0,18.0,36.7,226,1.94,0.45
Frankfurt,50.1106444,8.6820917,2024-01-14,3,0.5,-2.2,-0.9,-4.3,-7.4,-6.1,2024-01-14T07:19,2024-01-14T15:48,30580.73,5818.49,0.0,0.0,0.0,0.0,19.6,37.4,227,2.22,0.51
Frankfurt,50.1106444,8.6820917,2024-01-15,73,3.0,-1.2,0.3,-3.0,-6.9,-5.2,2024-01-15T07:18,2024-01-15T15:50,30710.16,13839.58,2.1,0.0,1.47,8.0,26.5,52.6,249,3.55,0.76
Frankfurt,50.1106444,8.6820917,2024-01-16,3,1.7,-5.3,-1.6,-2.7,-9.5,-6.1,2024-01-16T07:17,2024-01-16T15:51,30844.85,11616.0,0.0,0.0,0.0,0.0,15.1,28.4,216,3.62,0.46
Frankfurt,50.1106444,8.6820917,2024-01-17,75,1.3,-6.0,-2.2,-1.3,-10.0,-5.5,2024-01-17T07:17,2024-01-17T15:53,30984.51,0.0,17.2,13.0,2.94,16.0,7.6,14.8,27,0.63,0.17
Frankfurt,50.1106444,8.6820917,2024-01-18,73,1.4,-4.9,-0.9,-1.4,-9.0,-5.2,2024-01-18T07:16,2024-01-18T15:54,31128.88,5076.0,5.8,0.3,3.85,12.0,19.5,37.4,360,2.19,0.3
Frankfurt,50.1106444,8.6820917,2024-01-19,3,1.3,-7.6,-3.1,-2.7,-12.0,-7.0,2024-01-19T07:15,2024-01-19T15:56,31277.69,13700.88,0.0,0.0,0.0,0.0,12.0,24.5,232,3.53,0.34
Frankfurt,50.1106444,8.6820917,2024-01-20,3,-1.7,-7.3,-5.2,-5.7,-11.5,-9.2,2024-01-20T07:14,2024-01-20T15:57,31430.64,17801.38,0.0,0.0,0.0,0.0,11.0,20.9,228,4.32,0.3
Frankfurt,50.1106444,8.6820917,2024-01-21,3,3.9,-7.7,-1.6,-1.5,-11.8,-6.3,2024-01-21T07:13,2024-01-21T15:59,31587.5,14425.29,0.0,0.0,0.0,0.0,22.2,40.0,214,3.97,0.62
Frankfurt,50.1106444,8.6820917,2024-01-22,61,7.8,3.4,5.4,3.3,-2.2,0.4,2024-01-22T07:12,2024-01-22T16:01,31748.01,0.0,6.0,6.0,0.0,10.0,32.2,68.0,218,0.71,0.6
Frankfurt,50.1106444,8.6820917,2024-01-23,53,7.8,4.3,6.1,3.3,0.1,1.4,2024-01-23T07:11,2024-01-23T16:02,31911.89,14591.29,4.2,4.2,0.0,7.0,26.6,50.8,236,3.71,0.73
Frankfurt,50.1106444,8.6820917,2024-01-24,55,12.5,5.5,9.5,7.3,1.7,5.1,2024-01-24T07:09,2024-01-24T16:04,32078.92,26234.88,1.7,1.7,0.0,5.0,32.3,66.6,242,5.1,1.13
Frankfurt,50.1106444,8.6820917,2024-01-25,51,9.4,3.4,6.2,6.4,0.1,3.2,2024-01-25T07:08,2024-01-25T16:06,32248.84,12139.79,0.6,0.6,0.0,2.0,16.0,29.2,235,4.07,0.54
Frankfurt,50.1106444,8.6820917,2024-01-26,53,11.7,2.2,7.3,8.2,-1.3,4.1,2024-01-26T07:07,2024-01-26T16:07,32421.41,5474.85,2.5,2.5,0.0,8.0,25.9,49.7,237,1.64,0.37
Frankfurt,50.1106444,8.6820917,2024-01-27,2,6.5,-1.9,1.6,3.5,-5.4,-1.5,2024-01-27T07:06,2024-01-27T16:09,32596.42,27963.86,0.0,0.0,0.0,0.0,9.4,17.6,239,6.76,0.61
Frankfurt,50.1106444,8.6820917,2024-01-28,1,7.9,-1.7,1.1,5.5,-5.2,-2.5,2024-01-28T07:05,2024-01-28T16:11,32773.61,28312.3,0.0,0.0,0.0,0.0,12.0,15.5,65,6.89,0.72
Frankfurt,50.1106444,8.6820917,2024-01-29,3,7.5,-2.3,1.8,4.9,-5.9,-1.5,2024-01-29T07:03,2024-01-29T16:12,32952.79,22595.86,0.0,0.0,0.0,0.0,9.8,17.6,232,5.45,0.61
Frankfurt,50.1106444,8.6820917,2024-01-30,51,6.4,-1.6,2.2,3.2,-5.5,-1.1,2024-01-30T07:02,2024-01-30T16:14,33133.72,14315.09,0.2,0.2,0.0,2.0,11.0,20.2,233,4.29,0.5
Frankfurt,50.1106444,8.6820917,2024-01-31,51,8.1,1.5,4.5,5.0,-0.9,1.9,2024-01-31T07:01,2024-01-31T16:16,33316.21,24777.0,0.1,0.1,0.0,1.0,13.2,27.0,241,5.37,0.61
Frankfurt,50.1106444,8.6820917,2024-02-01,55,9.9,-1.1,5.0,6.5,-4.5,1.6,2024-02-01T06:59,2024-02-01T16:17,33500.04,20544.65,2.7,2.7,0.0,4.0,16.4,31.3,256,5.72,0.8
Frankfurt,50.1106444,8.6820917,2024-02-02,3,9.2,0.0,4.9,4.4,-3.2,0.9,2024-02-02T06:58,2024-02-02T16:19,33685.36,27855.46,0.0,0.0,0.0,0.0,21.9,42.5,229,6.72,0.96
Frankfurt,50.1106444,8.6820917,2024-02-03,51,10.3,6.7,8.3,6.5,2.6,4.5,2024-02-03T06:56,2024-02-03T16:21,33874.01,0.0,0.1,0.1,0.0,1.0,22.2,43.9,232,1.92,0.69
Frankfurt,50.1106444,8.6820917,2024-02-04,51,10.2,8.6,9.3,6.1,4.5,5.1,2024-02-04T06:55,2024-02-04T16:22,34066.07,0.0,1.2,1.2,0.0,8.0,26.6,49.3,236,1.41,0.7
Frankfurt,50.1106444,8.6820917,2024-02-05,3,11.3,6.3,8.7,6.1,1.8,4.1,2024-02-05T06:53,2024-02-05T16:24,34261.28,29112.33,0.0,0.0,0.0,0.0,29.3,56.2,235,7.38,1.31
Frankfurt,50.1106444,8.6820917,2024-02-06,51,8.8,6.4,7.7,4.3,1.2,2.7,2024-02-06T06:52,2024-02-06T16:26,34459.38,0.0,0.4,0.4,0.0,4.0,27.3,59.4,224,1.55,0.99
Frankfurt,50.1106444,8.6820917,2024-02-07,61,9.6,3.8,7.0,8.0,0.4,3.0,2024-02-07T06:50,2024-02-07T16:28,34660.13,0.0,19.6,19.6,0.0,21.0,31.6,61.6,228,1.08,0.5
Frankfurt,50.1106444,8.6820917,2024-02-08,61,11.0,3.9,6.9,7.8,0.9,4.3,2024-02-08T06:48,2024-02-08T16:29,34863.27,0.0,11.2,11.2,0.0,23.0,22.5,41.8,218,0.91,0.27
Frankfurt,50.1106444,8.6820917,2024-02-09,53,13.5,9.5,10.9,10.6,6.4,8.1,2024-02-09T06:47,2024-02-09T16:31,35068.57,12083.63,5.8,5.8,0.0,14.0,21.3,39.6,207,4.75,0.84
Frankfurt,50.1106444,8.6820917,2024-02-10,55,13.4,7.1,10.1,11.5,5.5,8.6,2024-02-10T06:45,2024-02-10T16:33,35275.8,13368.24,2.0,2.0,0.0,4.0,14.3,32.0,63,5.12,0.74
Frankfurt,50.1106444,8.6820917,2024-02-11,53,10.5,5.4,8.1,7.1,2.3,5.0,2024-02-11T06:43,2024-02-11T16:35,35484.72,14324.26,3.1,3.1,0.0,8.0,20.8,39.2,229,4.72,0.8
Frankfurt,50.1106444,8.6820917,2024-02-12,51,10.2,2.0,6.7,7.5,-0.8,4.0,2024-02-12T06:42,2024-02-12T16:36,35695.12,26140.54,1.3,1.3,0.0,10.0,14.0,29.5,245,6.61,0.85
Frankfurt,50.1106444,8.6820917,2024-02-13,3,9.2,0.1,4.6,5.5,-2.9,1.2,2024-02-13T06:40,2024-02-13T16:38,35906.8,27231.65,0.0,0.0,0.0,0.0,18.5,36.7,232,6.97,0.96
Frankfurt,50.1106444,8.6820917,2024-02-14,53,10.9,4.8,8.5,8.0,1.2,5.3,2024-02-14T06:38,2024-02-14T16:40,36119.53,409.75,2.9,2.9,0.0,10.0,20.9,41.0,216,2.94,0.7
Frankfurt,50.1106444,8.6820917,2024-02-15,51,14.3,7.2,10.3,14.4,5.2,8.8,2024-02-15T06:36,2024-02-15T16:42,36333.11,16754.74,0.1,0.1,0.0,1.0,13.0,24.5,206,5.99,0.79
Frankfurt,50.1106444,8.6820917,2024-02-16,53,16.0,6.8,11.3,13.4,4.3,9.3,2024-02-16T06:34,2024-02-16T16:43,36547.34,22750.41,2.4,2.4,0.0,6.0,18.1,36.0,226,6.63,1.08
Frankfurt,50.1106444,8.6820917,2024-02-17,51,13.9,6.1,9.5,12.4,4.0,7.9,2024-02-17T06:32,2024-02-17T16:45,36762.04,30078.88,0.2,0.2,0.0,2.0,9.0,18.7,284,7.65,1.07
Frankfurt,50.1106444,8.6820917,2024-02-18,61,10.3,4.3,7.5,7.3,1.7,4.6,2024-02-18T06:31,2024-02-18T16:47,36976.99,4173.55,3.2,3.2,0.0,6.0,21.1,39.2,220,4.25,0.69
Frankfurt,50.1106444,8.6820917,2024-02-19,53,12.2,6.6,9.1,8.9,4.0,6.2,2024-02-19T06:29,2024-02-19T16:48,37192.04,11596.94,1.0,1.0,0.0,3.0,17.9,38.5,258,5.2,1.01
Frankfurt,50.1106444,8.6820917,2024-02-20,51,10.8,4.7,7.4,7.3,2.3,4.4,2024-02-20T06:27,2024-02-20T16:50,37406.97,20331.16,0.1,0.1,0.0,1.0,16.2,32.0,247,5.91,0.98
Frankfurt,50.1106444,8.6820917,2024-02-21,61,10.5,5.4,8.1,6.8,2.1,4.2,2024-02-21T06:25,2024-02-21T16:52,37621.63,5802.59,3.3,3.3,0.0,5.0,22.8,43.2,214,5.15,1.11
Berlin,52.5170365,13.3888599,2024-01-01,53,7.3,3.4,5.1,4.0,-0.7,1.3,2024-01-01T07:17,2024-01-01T15:02,27889.87,17859.23,1.9,1.9,0.0,7.0,19.7,36.0,220,2.29,0.41
Berlin,52.5170365,13.3888599,2024-01-02,73,7.9,2.4,4.7,4.1,-1.3,1.0,2024-01-02T07:17,2024-01-02T15:03,27964.2,0.0,10.2,9.8,0.28,15.0,20.2,35.6,164,0.59,0.17
Berlin,52.5170365,13.3888599,2024-01-03,63,10.5,6.9,8.7,6.2,3.1,4.3,2024-01-03T07:16,2024-01-03T15:04,28044.64,3789.2,9.3,9.3,0.0,13.0,27.8,47.9,229,1.7,0.79
Berlin,52.5170365,13.3888599,2024-01-04,51,7.2,-2.3,3.4,3.4,-6.0,-1.1,2024-01-04T07:16,2024-01-04T15:05,28131.02,0.0,2.6,2.6,0.0,14.0,33.1,61.9,272,1.0,0.3
Berlin,52.5170365,13.3888599,2024-01-05,73,0.9,-0.5,0.4,-3.0,-5.2,-4.0,2024-01-05T07:16,2024-01-05T15:06,28223.18,0.0,5.4,1.4,2.8,14.0,21.3,36.7,95,0.45,0.15
Berlin,52.5170365,13.3888599,2024-01-06,71,0.9,-1.9,-0.6,-3.4,-7.2,-5.5,2024-01-06T07:15,2024-01-06T15:08,28320.94,0.0,1.3,0.0,0.98,10.0,18.4,32.4,66,0.71,0.27
Berlin,52.5170365,13.3888599,2024-01-07,73,-0.4,-7.8,-3.3,-5.2,-13.3,-8.6,2024-01-07T07:15,2024-01-07T15:09,28424.14,5344.28,0.5,0.0,0.35,2.0,22.6,38.9,38,1.39,0.52
Berlin,52.5170365,13.3888599,2024-01-08,3,-3.9,-9.2,-7.0,-9.6,-15.3,-12.6,2024-01-08T07:15,2024-01-08T15:10,28532.62,23225.03,0.0,0.0,0.0,0.0,21.9,38.5,51,4.13,0.54
Berlin,52.5170365,13.3888599,2024-01-09,0,-4.1,-10.6,-7.9,-8.6,-14.8,-12.4,2024-01-09T07:14,2024-01-09T15:12,28646.2,23340.53,0.0,0.0,0.0,0.0,8.7,16.2,72,4.2,0.38
Berlin,52.5170365,13.3888599,2024-01-10,1,-1.9,-8.9,-6.6,-6.4,-13.5,-11.1,2024-01-10T07:13,2024-01-10T15:13,28764.7,23453.27,0.0,0.0,0.0,0.0,9.3,19.1,68,4.22,0.41
Berlin,52.5170365,13.3888599,2024-01-11,3,-0.3,-7.0,-2.5,-3.9,-11.1,-6.8,2024-01-11T07:13,2024-01-11T15:15,28887.98,0.0,0.0,0.0,0.0,0.0,17.7,31.7,290,1.36,0.17
Berlin,52.5170365,13.3888599,2024-01-12,3,0.5,-1.7,-0.6,-4.0,-5.9,-4.9,2024-01-12T07:12,2024-01-12T15:16,29015.85,0.0,0.0,0.0,0.0,0.0,17.4,31.0,268,1.36,0.16
Berlin,52.5170365,13.3888599,2024-01-13,53,2.1,0.5,1.6,-2.9,-4.5,-3.8,2024-01-13T07:11,2024-01-13T15:17,29148.43,0.0,2.8,2.8,0.0,17.0,28.9,50.4,259,0.68,0.17
Berlin,52.5170365,13.3888599,2024-01-14,73,2.8,0.9,1.6,-2.6,-5.0,-3.8,2024-01-14T07:11,2024-01-14T15:19,29287.17,0.0,3.9,2.8,0.77,15.0,25.8,47.2,259,1.4,0.2
Berlin,52.5170365,13.3888599,2024-01-15,73,2.2,-4.3,0.5,-4.0,-8.3,-5.4,2024-01-15T07:10,2024-01-15T15:20,29432.02,13422.91,0.9,0.3,0.42,7.0,35.3,64.4,265,2.74,0.48
Berlin,52.5170365,13.3888599,2024-01-16,73,1.0,-3.7,-1.1,-4.6,-8.1,-5.6,2024-01-16T07:09,2024-01-16T15:22,29582.68,7794.81,3.1,0.0,2.17,10.0,22.4,39.6,252,2.3,0.34
Berlin,52.5170365,13.3888599,2024-01-17,73,-0.2,-4.6,-2.6,-4.7,-9.8,-6.9,2024-01-17T07:08,2024-01-17T15:24,29738.81,12968.04,2.4,0.0,1.68,7.0,15.6,25.9,168,3.29,0.34
Berlin,52.5170365,13.3888599,2024-01-18,3,0.4,-5.2,-2.9,-3.4,-9.9,-7.0,2024-01-18T07:07,2024-01-18T15:25,29900.1,13052.84,0.0,0.0,0.0,0.0,13.2,22.3,291,3.57,0.29
Berlin,52.5170365,13.3888599,2024-01-19,3,1.8,-5.0,-1.2,-4.2,-9.9,-7.0,2024-01-19T07:06,2024-01-19T15:27,30066.22,24847.46,0.0,0.0,0.0,0.0,24.5,47.5,251,4.59,0.61
Berlin,52.5170365,13.3888599,2024-01-20,3,3.0,-3.3,0.4,-2.6,-7.8,-5.2,2024-01-20T07:05,2024-01-20T15:29,30236.89,18846.26,0.0,0.0,0.0,0.0,26.6,51.8,251,3.91,0.61
Berlin,52.5170365,13.3888599,2024-01-21,3,3.0,-4.9,-0.8,-3.7,-9.7,-6.5,2024-01-21T07:03,2024-01-21T15:31,30411.8,2035.18,0.0,0.0,0.0,0.0,28.2,47.2,193,2.86,1.0
Berlin,52.5170365,13.3888599,2024-01-22,55,8.8,1.7,5.7,3.0,-3.7,0.0,2024-01-22T07:02,2024-01-22T15:32,30590.65,1224.88,3.1,3.1,0.0,9.0,33.7,58.0,221,1.79,0.8
Berlin,52.5170365,13.3888599,2024-01-23,51,7.5,2.4,4.5,2.6,-2.4,-0.7,2024-01-23T07:01,2024-01-23T15:34,30773.16,15802.54,0.5,0.5,0.0,2.0,30.7,53.3,245,3.2,0.62
Berlin,52.5170365,13.3888599,2024-01-24,61,10.3,4.8,8.1,4.4,-0.7,1.8,2024-01-24T07:00,2024-01-24T15:36,30959.05,23580.12,5.5,5.5,0.0,11.0,42.2,76.7,256,3.62,1.11
Berlin,52.5170365,13.3888599,2024-01-25,51,8.3,4.3,6.4,2.6,-0.9,0.9,2024-01-25T06:58,2024-01-25T15:38,31148.04,26011.02,0.2,0.2,0.0,2.0,35.3,66.6,284,4.06,1.06
Berlin,52.5170365,13.3888599,2024-01-26,61,9.0,2.1,5.1,4.6,-2.3,0.5,2024-01-26T06:57,2024-01-26T15:40,31339.86,385.03,3.5,3.5,0.0,5.0,34.1,62.3,249,1.55,0.53
Berlin,52.5170365,13.3888599,2024-01-27,3,6.7,1.1,4.0,2.5,-3.0,-0.8,2024-01-27T06:56,2024-01-27T15:41,31534.26,7207.62,0.0,0.0,0.0,0.0,28.7,50.0,280,2.55,0.6
Berlin,52.5170365,13.3888599,2024-01-28,3,6.3,-2.3,1.4,2.7,-6.0,-2.3,2024-01-28T06:54,2024-01-28T15:43,31730.98,26765.0,0.0,0.0,0.0,0.0,14.0,24.1,163,5.75,0.54
Berlin,52.5170365,13.3888599,2024-01-29,2,8.2,-0.2,3.0,4.6,-4.8,-1.1,2024-01-29T06:53,2024-01-29T15:45,31929.77,26827.39,0.0,0.0,0.0,0.0,15.0,25.9,178,5.61,0.86
Berlin,52.5170365,13.3888599,2024-01-30,51,8.2,0.8,4.5,4.6,-2.9,0.9,2024-01-30T06:51,2024-01-30T15:47,32130.39,22168.25,0.1,0.1,0.0,1.0,16.3,26.6,206,4.55,0.6
Berlin,52.5170365,13.3888599,2024-01-31,3,7.5,1.5,4.9,3.2,-2.8,0.6,2024-01-31T06:50,2024-01-31T15:49,32332.62,0.0,0.0,0.0,0.0,0.0,21.8,37.1,249,1.99,0.57
Berlin,52.5170365,13.3888599,2024-02-01,53,7.7,2.6,5.8,2.7,-2.6,0.6,2024-02-01T06:48,2024-02-01T15:51,32536.21,25200.0,2.1,2.1,0.0,7.0,29.2,57.6,270,5.34,1.08
Berlin,52.5170365,13.3888599,2024-02-02,51,8.0,3.8,5.8,3.1,-0.9,0.9,2024-02-02T06:47,2024-02-02T15:52,32741.34,0.0,1.3,1.3,0.0,8.0,29.6,51.1,257,1.19,0.64
Berlin,52.5170365,13.3888599,2024-02-03,51,10.3,6.7,8.9,5.7,2.4,4.4,2024-02-03T06:45,2024-02-03T15:54,32950.04,2679.88,2.7,2.7,0.0,15.0,34.0,59.4,267,1.96,0.57
Berlin,52.5170365,13.3888599,2024-02-04,55,8.4,5.2,6.9,3.4,0.6,1.7,2024-02-04T06:43,2024-02-04T15:56,33162.39,13369.18,1.7,1.7,0.0,6.0,31.0,60.5,268,3.68,0.97
Berlin,52.5170365,13.3888599,2024-02-05,61,9.6,7.6,8.9,5.2,2.9,3.9,2024-02-05T06:42,2024-02-05T15:58,33378.11,0.0,11.3,11.3,0.0,16.0,32.0,59.8,265,0.73,0.63
Berlin,52.5170365,13.3888599,2024-02-06,51,10.3,8.0,9.2,4.9,2.1,3.5,2024-02-06T06:40,2024-02-06T16:00,33596.91,0.0,1.8,1.8,0.0,8.0,36.1,65.5,247,1.57,1.21
Berlin,52.5170365,13.3888599,2024-02-07,63,9.1,-1.1,4.0,3.7,-4.8,-0.8,2024-02-07T06:38,2024-02-07T16:02,33818.51,20286.61,8.6,8.6,0.0,12.0,34.5,64.1,277,5.34,0.8
Berlin,52.5170365,13.3888599,2024-02-08,71,4.7,-2.6,1.0,2.1,-6.5,-2.2,2024-02-08T06:36,2024-02-08T16:04,34042.63,8341.46,3.1,3.0,0.07,10.0,14.8,24.5,155,3.95,0.44
Berlin,52.5170365,13.3888599,2024-02-09,73,7.9,0.9,4.3,5.7,-4.1,0.7,2024-02-09T06:34,2024-02-09T16:06,34269.02,0.0,13.8,12.4,0.98,19.0,23.4,40.7,115,1.41,0.22
Berlin,52.5170365,13.3888599,2024-02-10,61,12.4,6.4,8.6,11.4,4.2,6.6,2024-02-10T06:33,2024-02-10T16:08,34497.41,20192.39,5.5,5.5,0.0,8.0,15.6,26.3,109,4.75,0.58
Berlin,52.5170365,13.3888599,2024-02-11,53,10.1,6.0,7.2,7.4,2.5,4.3,2024-02-11T06:31,2024-02-11T16:09,34727.57,645.6,6.0,6.0,0.0,13.0,17.9,30.6,52,2.23,0.33
Berlin,52.5170365,13.3888599,2024-02-12,53,8.7,4.0,6.5,4.6,0.1,2.9,2024-02-12T06:29,2024-02-12T16:11,34959.25,6110.22,5.0,5.0,0.0,15.0,21.8,43.6,273,2.86,0.45
Berlin,52.5170365,13.3888599,2024-02-13,51,8.2,2.1,4.5,4.0,-1.4,0.6,2024-02-13T06:27,2024-02-13T16:13,35192.22,30547.36,0.1,0.1,0.0,1.0,20.2,36.7,253,6.55,0.81
Berlin,52.5170365,13.3888599,2024-02-14,63,9.3,1.7,6.2,6.3,-1.9,2.7,2024-02-14T06:25,2024-02-14T16:15,35426.24,3510.96,4.7,4.7,0.0,7.0,20.5,37.1,207,1.68,0.48
Berlin,52.5170365,13.3888599,2024-02-15,51,13.2,8.4,10.7,12.0,5.7,8.7,2024-02-15T06:23,2024-02-15T16:17,35661.1,6702.86,0.2,0.2,0.0,2.0,14.8,27.7,204,3.76,0.56
Berlin,52.5170365,13.3888599,2024-02-16,55,15.5,7.9,11.4,13.4,4.8,8.8,2024-02-16T06:21,2024-02-16T16:19,35896.57,28800.0,3.1,3.1,0.0,7.0,18.9,34.2,197,7.16,1.14
Berlin,52.5170365,13.3888599,2024-02-17,53,10.9,3.1,8.5,8.5,0.2,5.2,2024-02-17T06:19,2024-02-17T16:21,36132.45,9492.39,0.9,0.9,0.0,5.0,23.8,44.6,295,4.24,0.83
